Years,Month,Day,10ml,5ml
2021,6,19,0,0
2021,6,20,0,0
2021,6,21,21596400,0
2021,6,22,22496250,4725000
2021,6,23,16197300,0
2021,6,24,0,0
2021,6,25,53991000,56700000
2021,6,26,0,0
2021,6,27,0,0
2021,6,28,0,0
2021,6,29,0,0
2021,6,30,0,0
2021,7,1,0,0
2021,7,2,0,11340000
2021,7,3,0,0
2021,7,4,0,0
2021,7,5,0,0
2021,7,6,5399100,3402000
2021,7,7,3239460,11340000
2021,7,8,42499.8,0
2021,7,9,5399100,7938000
2021,7,10,0,0
2021,7,11,0,0
2021,7,12,42499.8,12500.25
2021,7,13,16197300,4536000
2021,7,14,8638560,708750
2021,7,15,0,125002.5
2021,7,16,0,0
2021,7,17,0,0
2021,7,18,0,0
2021,7,19,0,0
2021,7,20,0,0
2021,7,21,424998,0
2021,7,22,15117480,0
2021,7,23,0,0
2021,7,24,0,0
2021,7,25,0,125002.5
2021,7,26,212499,0
2021,7,27,0,11340000
2021,7,28,5399100,36855000
2021,7,29,0,9700005
2021,7,30,0,0
2021,7,31,0,0
2021,8,1,0,0
2021,8,2,0,0
2021,8,3,4499250,0
2021,8,4,8998500,0
2021,8,5,8998500,0
2021,8,6,0,0
2021,8,7,0,0
2021,8,8,0,0
2021,8,9,0,2362500
2021,8,10,5399100,11340000
2021,8,11,0,4725000
2021,8,12,0,0
2021,8,13,0,0
2021,8,14,0,0
2021,8,15,0,0
2021,8,16,0,50001
2021,8,17,212499,0
2021,8,18,0,0
2021,8,19,0,0
2021,8,20,0,4725000
2021,8,21,0,0
2021,8,22,0,0
2021,8,23,0,0
2021,8,24,0,11340000
2021,8,25,17997000,0
2021,8,26,0,0
2021,8,27,15117480,0
2021,8,28,0,0
2021,8,29,0,0
2021,8,30,0,0
2021,8,31,0,0
2021,9,1,0,0
2021,9,2,0,0
2021,9,3,0,0
2021,9,4,0,0
2021,9,5,0,0
2021,9,6,0,11340000
2021,9,7,5399100,0
2021,9,8,32394600,0
2021,9,9,5399100,0
2021,9,10,16197300,8032500
2021,9,11,0,0
2021,9,12,0,0
2021,9,13,0,50001
2021,9,14,42499.8,0
2021,9,15,0,11340000
